	keywords	counts
24	COVID-19	28
102	SARS-CoV-2	25
139	bats	22
20	Bats	16
206	pets	11
153	coronavirus	10
257	zoonosis	5
75	One health	5
101	SARS-CoV	5
82	Pets	4
161	dogs	4
34	Coronavirus	4
67	MERS-CoV	4
146	cats	4
6	2019-nCoV	3
241	transmission	3
33	Coronaviridae	3
124	Wuhan	3
239	susceptibility	3
78	Pandemic	3
232	sequencing	2
79	Pangolins	2
165	ecology	2
64	Longevity	2
215	quarantine	2
208	phylogenetic	2
